,MBID,#1 Most Used Bpm,Percentage of 1st,#2 Most Used Bpm,Percentage of 2nd,Total # Duplicates
740,bcbe3d2e-e95f-46f4-8b5f-9e8a8bb71d36,147.0,50.0,144.0,50.0,32
741,bd5a8e36-b012-4eec-ba89-e435a8f6c58c,137.0,97.4025974026,Nan,Nan,77
742,bd82738d-163c-4b1a-bfaf-7acffe30e68a,162.0,100.0,Nan,Nan,32
743,bda82824-33bf-40d1-b592-3c7e96a9a130,101.0,46.3414634146,149.0,36.58536585365854,41
744,be5761a7-d99a-44e8-96a4-904b490f7061,129.0,96.9696969697,Nan,Nan,33
745,beb7d493-3437-485d-b21b-14d0ac46b211,155.0,91.4893617021,142.0,2.127659574468085,47
746,bf5197ab-31f0-4861-b81b-91372145dc8e,128.0,100.0,Nan,Nan,36
747,bf58a93c-1a90-43aa-b804-53f5a4f5307f,120.0,100.0,Nan,Nan,59
748,bf7845cc-eac3-48a3-8b06-543b4b7ba117,141.0,90.7894736842,Nan,Nan,76
749,bf80d304-2c72-4352-9ced-3aaed8632346,127.0,100.0,Nan,Nan,42
750,bfae2a1a-3b13-4d39-8ff2-e17b2cac8126,131.0,100.0,Nan,Nan,46
751,bfbac2b9-679d-4a6b-9acd-36b97e0b5a0c,120.0,75.0,154.0,6.8181818181818175,44
752,bfbc588f-c4f7-464a-a890-7ac749326a13,140.0,100.0,Nan,Nan,37
753,bfd37140-14fd-497a-a39d-c133011ac244,106.0,100.0,Nan,Nan,32
754,c00382c2-5c52-4c14-85d2-d7438a4b1fa2,105.0,78.9473684211,Nan,Nan,38
755,c02354ac-3656-455a-a89e-a4a7523f24e5,129.0,100.0,Nan,Nan,48
756,c05048f1-47f6-4532-8d98-75ca80fa1792,95.0,81.0810810811,145.0,10.81081081081081,37
757,c06c19b2-35e9-4fb3-9616-05fe55b037a3,131.0,100.0,Nan,Nan,34
758,c0a217dc-4c2c-45f9-afd4-9b5f366386ef,93.0,73.9130434783,Nan,Nan,46
759,c0b7b368-ad18-481f-9184-2d92fa5799df,123.0,78.8461538462,140.0,13.461538461538462,52
760,c0c78d3e-19fc-4227-bdbb-153814f05527,123.0,90.625,Nan,Nan,32
761,c19db4d3-6640-4732-a0b2-e358ed80c5c4,151.0,93.75,Nan,Nan,32
762,c1b567b0-5924-437c-9c20-c8add9be7d39,163.0,93.4782608696,Nan,Nan,92
763,c1d63906-f64a-4cd1-9873-9f3a9f98883c,163.0,100.0,Nan,Nan,36
764,c24eb26a-04d6-4f09-9449-9bc334f78ede,139.0,75.2293577982,Nan,Nan,109
765,c25aba65-17ae-4f2e-a8a8-5aefa4e1348b,95.0,100.0,Nan,Nan,48
766,c2d8ca4f-503a-452b-ae1e-9646022eaf50,98.0,96.875,114.0,3.125,32
